,Tweet ID,Conversation ID,Username,Date,Text,URL,Origin,Likes,Replies,Retweets,Quotes,Negative Sentiment Score,Neutral Sentiment Score,Positive Sentiment Score,Compound Sentiment Score
233,1603845664492105728,,taotheking1550,2022-12-16 20:12:59,RT @chinseefung: @JChengWSJ @LiYuan6 You are a liar @JCheng and you should apologise.,https://twitter.com/twitter/statuses/1603845664492105728,retweet,0,0,1,0,0.208,0.629,0.164,-0.1779
234,1603686640894980096,1603578408260313091,Cho965256,2022-12-16 10:41:04,@xeno_swift @JChengWSJ @LiYuan6 💰 💰 💰,https://twitter.com/Cho965256/status/1603686640894980096,reply,0,0,0,0,0.0,1.0,0.0,0.0
235,1603844538812239873,,taotheking1550,2022-12-16 20:08:30,"RT @xeno_swift: @JChengWSJ @LiYuan6 Gosh, the diaspora Chinese journalists are really something, male and female, this time. They’re always…",https://twitter.com/twitter/statuses/1603844538812239873,retweet,0,0,3,0,0.0,1.0,0.0,0.0
236,1603843033870508032,,UnrulyBastian,2022-12-16 20:02:31,"RT @xeno_swift: @JChengWSJ @LiYuan6 Gosh, the diaspora Chinese journalists are really something, male and female, this time. They’re always…",https://twitter.com/twitter/statuses/1603843033870508032,retweet,0,0,3,0,0.0,1.0,0.0,0.0
237,1603779824098504706,,dlcmh,2022-12-16 15:51:21,"RT @xeno_swift: @JChengWSJ @LiYuan6 Gosh, the diaspora Chinese journalists are really something, male and female, this time. They’re always…",https://twitter.com/twitter/statuses/1603779824098504706,retweet,0,0,3,0,0.0,1.0,0.0,0.0
238,1603735253209579520,1603578408260313091,rational_matt,2022-12-16 13:54:14,@CurtExplores @RealSexyCyborg @JChengWSJ @LiYuan6  https://t.co/NgR8WADuCY,https://twitter.com/rational_matt/status/1603735253209579520,reply,1,0,0,0,0.0,1.0,0.0,0.0
239,1603735204333776896,1603578408260313091,rational_matt,2022-12-16 13:54:03,"@CurtExplores @RealSexyCyborg @JChengWSJ @LiYuan6 I don't want to prejudge but you sound like a lot of the procgina youtubers, by jumping to conclussion as long as it supports the CCP.",https://twitter.com/rational_matt/status/1603735204333776896,reply,0,0,0,0,0.034,0.767,0.199,0.7498
240,1603734695581294593,1603578408260313091,rational_matt,2022-12-16 13:52:02,@CurtExplores @RealSexyCyborg @JChengWSJ @LiYuan6 It isn't a scientific survey making the leaps you're taking requires prejudice guided by bias.  In the Authors' circle the opinion is prevalent. Doesn'tean it is un true or fabricated,https://twitter.com/rational_matt/status/1603734695581294593,reply,0,0,0,0,0.125,0.8,0.075,-0.2263
241,1603668756718358529,1603578408260313091,nameandnums,2022-12-16 09:30:00,@CurtExplores @JChengWSJ @LiYuan6 Maybe they didn't speak to anyone?... Or asked people going in/out of the USA embassy?,https://twitter.com/nameandnums/status/1603668756718358529,reply,1,0,0,0,0.0,1.0,0.0,0.0
242,1603660121573568513,1603578408260313091,CurtExplores,2022-12-16 08:55:42,@rational_matt @RealSexyCyborg @JChengWSJ @LiYuan6 inclined*,https://twitter.com/CurtExplores/status/1603660121573568513,reply,0,0,0,0,0.0,1.0,0.0,0.0
243,1603645852375187456,1603578408260313091,CurtExplores,2022-12-16 07:59:00,"@rational_matt @RealSexyCyborg @JChengWSJ @LiYuan6 I can't see Naomi's tweet because I'm blocked. If she suggests 'no one has this view', I am included to disagree. Just as I disagree with WSJs point that 'everyone shares this view'. Though from experience, I'd wager Naomi's point is closer to the truth.",https://twitter.com/CurtExplores/status/1603645852375187456,reply,0,2,0,0,0.176,0.741,0.083,-0.6124
244,1603638500787687424,1603578408260313091,rational_matt,2022-12-16 07:29:47,"@CurtExplores @RealSexyCyborg @JChengWSJ @LiYuan6 You read English, perhaps you can point to where the writer suggests the majority? Btw Many is not equal to most or majority. It is subjective to the readers own bias but requires a stretch.  https://t.co/YOwAsWR52y",https://twitter.com/rational_matt/status/1603638500787687424,reply,0,1,0,0,0.031,0.969,0.0,-0.0516
245,1603636774139531264,1603578408260313091,rational_matt,2022-12-16 07:22:55,@CurtExplores @RealSexyCyborg @JChengWSJ @LiYuan6 People I speak to in the China have this view. The Zero covid lockdown turned into a massive failure.,https://twitter.com/rational_matt/status/1603636774139531264,reply,0,1,0,0,0.142,0.858,0.0,-0.5106
246,1603627444086636544,1603578408260313091,CurtExplores,2022-12-16 06:45:51,"@rational_matt @RealSexyCyborg @JChengWSJ @LiYuan6 Does it exist? Sure, probably. There's 1.4b people here with an array of opinions. But the writer isn't saying 'some people have this view'. They're suggesting it's the view of the majority.  There's not a chance that's true, sorry.",https://twitter.com/CurtExplores/status/1603627444086636544,reply,5,1,0,0,0.142,0.822,0.036,-0.6004
247,1603688884675948545,,joshuamills044,2022-12-16 09:49:59,RT @CurtExplores: @JChengWSJ @LiYuan6 There is not a chance 'everyone [you] spoke to wants the government to apologize' unless you specific…,https://twitter.com/twitter/statuses/1603688884675948545,retweet,0,0,2,0,0.082,0.851,0.066,-0.0875
248,1603845267547361280,,taotheking1550,2022-12-16 20:11:24,"RT @rgmiami2: @JChengWSJ @LiYuan6 Btw, it is not hard to find Chinese people who have exactly opposite views (and frequently much more nuan…",https://twitter.com/twitter/statuses/1603845267547361280,retweet,0,0,1,0,0.0,0.944,0.056,0.0762
249,1603844618789212161,,taotheking1550,2022-12-16 20:08:49,RT @rgmiami2: @JChengWSJ @LiYuan6 This makes me wonder: does these NYT/WSJ only voluntarily talk to one type of people in China to support…,https://twitter.com/twitter/statuses/1603844618789212161,retweet,0,0,2,0,0.0,1.0,0.0,0.0
250,1603690271501582336,,KimmeeLee2,2022-12-16 09:55:30,RT @rgmiami2: @JChengWSJ @LiYuan6 This makes me wonder: does these NYT/WSJ only voluntarily talk to one type of people in China to support…,https://twitter.com/twitter/statuses/1603690271501582336,retweet,0,0,2,0,0.0,1.0,0.0,0.0
251,1603844387943088128,,taotheking1550,2022-12-16 20:07:54,RT @zhao_dashuai: @JChengWSJ @LiYuan6 Lie better next time,https://twitter.com/twitter/statuses/1603844387943088128,retweet,0,0,1,0,0.0,0.707,0.293,0.4404
252,1603844429756129280,,taotheking1550,2022-12-16 20:08:04,"RT @AKgnewsbee: @JChengWSJ @LiYuan6 ""Everybody I talked to.."" right..I talked to my cat, my dog, my rabbit.. yup world of everybody.",https://twitter.com/twitter/statuses/1603844429756129280,retweet,0,0,1,0,0.0,1.0,0.0,0.0
